dialog,emotion
0이 여섯개인데 어떻게 30만원이야! 300만원이지.,0
10바퀴 더 달리고 밥 먹을거야. 빨리 뛰어.,0
"10분이야, 딱 10분! 몸에도 좋고, 일도 더 잘되고, 고거 10분을 일찍 못 일어나서 그러고들 다녀 그래?",0
145거든? 맘대로 깍지마!,0
25일이 언젠데 이 자식아! 25일이 언제야?,0
26년동안 잠잠하던 놈을 미제사건 수사한다면서 들쑤셔서 자극한 건 니들이야. 저 안에 피해자를 죽게 만든 건 바로… 니들이라구!,0
27년을 같이 산. 딸이 모르는 사실이 뭔데요?!!,0
"2년을 별거중이든, 20년을 별거중이든, 법적으로는 여전히 부부사이라는뜻이잖어! ",0
"2년이 짧냐? 그리구, 너 언제까지 형한테 붙어살라 그래?",0
2천 도로 채울 때까지 안 들어가!!!,0
46키로야. 46키로!,0
8만원 갖고 보태긴 뭘 보태? 오늘 걔가 몇점 넣은 줄이나 알고 이러는 거야?,0
911테러는 학교일이냐? 이런..아우!,0
가 가! 일없어. 가!,0
가!,0
가! 자기 혼자 가!,0
가! 혼자 가! ,0
"가, 이자식아!!",0
"가, 자식아, 재수 없어. ",0
가... 다신 오지마. ,0
"가..가만 안있으면 뭐, 내가 겁먹고 못 때릴까봐?",0
가격 확인도 안하고 계약서 도장을 찍는 놈이 어딨어?!,0
가고 싶은 고등학교에 합격을 못해서 좌절감이 들어.,0
가끔 뉴스에 데이트 폭력 관련 기사를 보면 너무 화가 나.,0
가득이나 골치 아파 죽겠는데 얘가 웬 헛소리야. 나중에 니가 돈 벌어서 이사 가. 오늘두 겨우 2만원 팔고 들어왔어.,0
가뜩이나 날도 더운데 길에서 아내가 자꾸 내 곁에 붙어 있으려고 해서 성가셔.,0
가뜩이나 취업하기 어려운데 코로나 때문에 더 힘들어졌어.,0
가라구 혼자!,0
가만 있어! 내가 저번부터 너한테 이야기 했었잖아!,0
가만히 있는 내 가방을 발로 차는 친구 때문에 너무 화가 나.,0
가방 너무 무거워 힘들다.,0
가방은 내가 갖고 있다 어쩔래 임마! 그딴 걸 길가에 두고 오면 어떻게 해. 그러다 살인죄에 절도죄까지 뒤집어 쓰면 어쩔려구 그래?,0
가서 죽든지 살든지 맘대로해. ,0
가스레인지 불을 안 끈 게 생각나서 집에 있는 친구한테 전화했는데 안 받아서 화가 나.,0
가슴 좀 닿았다고 뭘 흥분하고 그러시나!!,0
"가슴이 터질것 같았어 .... 우리 아부지가 죽는데, 내가 달려가서 구해야 하는데 ..... 힘이 없는거야 .... 아무리 달려도  달려두 달려지지 않아 ... 아부지가 갱속에 파묻히는데 .. .나는 힘이 없는거야 ... 아빠 죽지마 - ! 우리 아빠를 살려주세요 - ! 우리 아빠를 살려주세요 소리쳤지만 .....아무도 들어주는 사람이 없었어 ... ",0
가을이 되니 연애가 너무 하고 싶어!,0
가장 친한 동성 친구가 나를 친구 이상으로 좋아한다고 해서 말문이 막혔어.,0
가장 친한 친구가 같은 반 아이들에게 괴롭힘을 당했어. 친구가 힘들어하는 모습을 보니 그 아이들에게 화가 나.,0
가정이 있는 사람이 어쩜 그럴 수가 있지? 생각만 해도 역겨워.,0
가족 때문에 너무 화나.,0
가족 중 나만 돈을 안 벌고 있어. 난 밥만 축내는 존재야.,0
가족관계가 구역질이 나.,0
가족들끼리 날 빼놓고 외식하러 갔어. 너무 화나.,0
가족들만 생각하면 짜증이 나.,0
가족들만 생각하면 짜증이나.,0
가족들만 생각하면 짜증이나. ,0
가족들은 내가 고등학교를 졸업하자마자 바로 취업하길 원하더라. 난 싫은데.,0
가족들은 이제 절대 신경쓰지 마세요! 제가 다 해결할 겁니다!,0
가족들이 나만 놀리는 게 너무 화가 나서 방문을 쾅 닫고 걸어 잠갔어.,0
가족들이 내가 공부하려고 할 때마다 자꾸 불러서 성가셔.,0
가족들이 맨날 싸워서 구역질이 나.,0
가족들이 자꾸 내 일에 간섭해. 너무 싫어서 방문을 닫았어.,0
가족인 나를 배려하겠다고 너희 담임선생님한테 민폐를 끼치는건 또 뭐냐.,0
가족한테 짜증이 나.,0
"가진 자의 겸손 같은 건 바라지두 않아요. 먹기 싫음 그냥 좋은 말루 거절하면 되지, 아니 만든 정성을 생각해서 좀 받아주면 어디 덧나냐? 그러다 쟤두 옥상에서 뛰어내리면 어떡할 건데 이 나쁜 놈아!!",0
가해자들이 나에게도 폭력을 쓰는 것으로 모자라서 내 동생도 괴롭힌다는데 너무 화가 나.,0
가해자들이 돈 떨어질 때만 나를 찾는 게 구역질 나. 나를 지갑으로만 보는 게 너무 화나.,0
간경화에 약이 어딨어요! 스트레스를 안 받아야지 스트레스를!,0
갈비가 보고 싶으셨겠지요!,0
감히 니가 날 떠난 거!,0
감히 니까짓 게! 날 가지구 놀아?,0
갑자기 왜 그만 만나고 싶어요? 왜? 헤어질때까지 저 좋다고 난리던 사람이 갑자기 제가 싫어 졌다는거에요? 말이돼요 그게?,0
"갑자기는 뭐가요, 안 줘도 될거 내가 그냥 손해 본다는데?",0
갔다오면! 너 몇살인줄 알어? ,0
갔다와서 하긴. 안돼. 들어와.,0
강력반이 호스트 바야? 왜 지명을 하고 그래! ,0
강아지 똥과 오줌이 집 곳곳에 있어서 정말 화가 머리 끝까지 나.,0
"강제로 끌고 다녔다는 말을 착각한 거겠지, 민폐 그 자체였어. 동물원 때였나……. 유원지 구역에서는 정말 끔찍했었지……",0
강하게 키워서. 남자로 만들어야지!!,0
강행하라니까! 무조건 강행해! ,0
갖다버려-!,0
같은 과 선배가 나 좋다고 자꾸 따라다녀서 아주 귀찮고 성가셔. 난 그 선배 별로거든.,0
같은 과 선배가 음란물 사이트 운영자였던 거 있지. 정말 구역질 나!,0
같은 대리인데 나에게만 업무량이 많은 거 같아 화가 나.,0
같은 말이라도 예뻐서 매력있다고 하면 듣기 좋죠. ,0
같은 반 애들이 반장 따돌리는 데 동조하라는데 하기 싫어 성가셔.,0
같은 반 애들이 반장 따돌리는데 동조하라는데 하기 싫어 성가셔.,0
같은 반 애들이 자꾸만 나를 괴롭혀서 화가 나.,0
같은 반 친구가 시험 시간에 커닝을 했는데 학교에서 조치 없이 넘어가서 화가 나.,0
같은 반 친구가 아무 이유 없이 나를 괴롭혀서 힘들어.,0
같은 팀 대리님 때문에 화가 나.,0
같은 학교에 입사한 대학 동창에게 업무 시간에 계속 전화가 와. 귀찮네.,0
같이 다니는 거다! 내일 당장 같이 가자!,0
같이 면접을 봤던 사람이 있는데 나한테 번호를 물어봐서 귀찮아.,0
같이 사는 친구가 툭하면 내 물건을 마음대로 건드려서 짜증 나.,0
같이 사는 친구가 툭하면 내 물건을 마음대로 건드려서 짜증나.,0
같이 사는 친구는 집에서 밥을 해 먹으면서 한 번도 장을 보지 않아.,0
같이 아르바이트하는 사람 중에 일을 정말 못하는 사람이 있어서 볼 때마다 너무 화나.,0
같이 일하는 동기가 일 처리를 이상하게 해서 내가 욕을 먹어. 그래서 너무 화가 나. ,0
같이 일하는 언니 자꾸 나한테 일 떠넘겨. 화가 나서 잠이 안 와.,0
같이 취업 스터디를 하자고 나를 끌어들인 친구가 매번 제때 잘 나오지를 않아서 짜증 나.,0
같이 취업스터디를 하자고 나를 끌어들인 친구가 매번 제때 잘 나오지를 않아서 짜증나.,0
같이 파묻혀? 내가 왜? 나는 너랑 상관없잖아! 내가 돈을 빌린것도 아닌데 내가 왜? ,0
같이 프로젝트 하는 친구가 자기 할 일은 안하고 나한테 할일을 다 맡겨서 너무 짜증이 나.,0
개소리 마. 더 가까이 오면 다 죽어.,0
걔 시험지를 숨겨버렸어! 그럼 성적이 아예 나오지 않겠지.,0
걔가 내 말을 안 들어서 친구한테 좀 때려주라고 했어.,0
걔가 어떻게 그럴 수 있지? 친구랑 싸웠는데 정말 이해할 수가 없어!,0
"걔고, 애들이고 상태가 어지간해야 말이지!",0
걔네들도 나한테 재수 없다고 했거든?,0
걔네들이 먼저 시작한 일이야. 눈에는 눈 이에는 이란 말도 몰라?,0
걔네들이 오늘도 나를 괴롭혔어. 더 이상 학교에 가기가 싫어.,0
걔는 나랑 연을 끊으려나 봐. 작정하고 내 프로젝트를 망쳤어.,0
걔는 유학가는 거잖아! 집에서 돈 대줘서! 난 잘하고 있으니까 아빠나 잘해! ,0
걔들이 내 자리를 망쳐놓는 바람에 전부 다시 정리해야 해. 너무 화가 나,0
걔들이 내 자리를 망쳐놓는 바람에 전부 다시 정리해야 해. 너무 화가 나.,0
"걔들이 자꾸 나한테 돈을 요구하는데, 돈을 안 주면 놀아주지 않으니까 화가 나.",0
걘 도대체 왜 매번...! 사람 우습게 만들고... 나쁜 사람 만들고 진짜...! 늦게라도 알려줘서 고마워요. ,0
거 쥐똥만한 자식이 말 많네! 먹지마 먹지마! 차라리 버리구 말지 ,0
거 참 시끄럽네! 연체료 받아서 자장면이나 불러 먹든가.,0
거 참! ,0
거 참! 무슨 배꼽인사를 해요? 건수 하나 잡았다고 지금 이러는 거예요? 사람이 유치하게 왜 이래요? 미안하다 그랬잖아요! 나도 자존심 강하다면 강한 여자,0
거 참. 두고봐. 이번에 아주 큰 마음먹고 내가 손자놈 인간 만들어놓을 테니까.,0
"거, 처녀한테 할 수 있는 소리가 있고 안할 소리가 있지! ",0
거기 말고... 방재청장한테 직접 연결해. ,0
거기 서!!,0
거기 왜 여자가란 말이 나와요?,0
거기다. 왜 하필. 변호사야!!!,0
거기서 뭐 하는 거야? 할머닌 왜 찾아갔어?,0
거긴 부정해! 왜인지 내가 슬퍼진다고!,0
"거봐, 안들었지! 거짓말하면 못써!",0
거짓말 마요! 거짓말하지 마시라고요! 오늘도 웬 누나하고 같이 있었잖아요!,0
거짓말 하지 마.,0
거짓말!! 내가 창피한 거지? 백수라서 소개팅 안 시켜주는 거지??!!,0
거짓말을 하려면 좀 성의있게 하던지..,0
거참.. 얘기해요. 얼른.,0
걱정 되서 따라왔다. 변호사가 호텔로 오래??!!,0
걱정이야. 이러다가는 평생 연애만 하고 결혼은 못 할 거 같아.,0
걱정하지 마. 내가 대신 죽여줄게.,0
"건 모르지. 어쨌든 고쳐서 그 남자 맘에 들던가, 아님 아줌마 맘대루 살던가, 뭐든지 해. 언제까지 그렇게 헤매구 있을거야! ",0
건드리지 마!! ,0
건들지 마. 머리 돌아가는 소리 안들려? 그녀석 제대로 밟아줄 한방을 생각하는 중이란 말야.,0
건들지마! 내가 알아서 먹을거야. ,0
건방진 소리 하고 있네! 누가 누굴 끌어?,0
건수하나 잡았다고 다들 신났구나.,0
건지긴 인마. 월급을 삼백씩이나 주게 생겼어. ,0
겉으로 위로해주면서 정작 필요할 때 도와주지 않는 애들이 구역질 나.,0
"게다가 뭐? 일년전에 그만두고 지금은 휴식중이야? 내가 이 나이에 너같은 백수자식 뒷치닥거리하는 여자로 보여야겠니? 나를 왜 그런 한심하고 불쌍한 여자로 만들어, 왜! ",0
게임 조금 하다가 공부 할건데 계속 잔소리 해서 짜증나.,0
게임당 3만원이 아니라 한점당 3만원이래잖아! 한점당 3만원!,0
게임을 하고 싶은데 엄마가 자꾸 방해해서 성가셔.,0
게임을 하고 있는데 여자친구가 옆에서 자꾸 훈수를 둬서 귀찮고 짜증나.,0
게임을 하는데 중간에 여자 친구가 방해해서 정말 화가 났어.,0
겨우 임신한 아이 유산될 뻔했어. 한 사람의 악의적인 행동 때문에 내 아이를 잃는 줄 알았어.,0
결과에 승복하지 못하는 남자는? ,0
결국 남자 친구와 헤어졌어. 결혼까지 갈 거라고 생각했는데. ,0
결국 학교 면접에서 떨어졌어. 가족들에게는 합격할 것 같다고 했는데 걱정이야.,0
결국...잘 해줄 생각이 없다는 거죠?,0
결정을 누가 했는데? 동의? 명령에 동의 같은 게 어디 있어요?! ,0
"결정해!... 낼부터 학원엘 겨 나올래, 짐싸서 나갈래?... 둘 중에 선택해!",0
결혼 따로 연애 따로 생각하는 친구를 보면 결혼 상대자가 불쌍하고 화가 나.,0
결혼 삼 년 차인데 부모님들이 자꾸 아이 언제 가지느냐고 물어보셔. 자녀 계획은 우리가 알아서 하면 안 되는 건가?,0
결혼 생활이 지긋지긋해서 토가 나올 지경이야.,0
결혼 이야기를 하도 들었더니 온몸이 마비되는 거 같아.,0
결혼 적령기인데 왜 아직도 결혼 안 하냐는 말을 들을 때마다 짜증 나.,0
결혼 준비 과정에는 불필요한 게 너무 많은 것 같아.,0
결혼 준비 때문에 예민해서 짜증이 많아진 것 같아.,0
결혼 준비 중인데 웨딩플래너가 예비 신랑 전 여자친구야. 뭘 해도 자꾸 나에게 악의적인 것만 같아서 짜증이 나.,0
결혼 준비가 너무 성가셔. 준비할 게 많고 복잡해.,0
결혼 준비가 이렇게 바쁜지 몰랐어.,0
결혼 준비는 정말 복잡하고 모든 싸움의 원인이 되는 거 같아.,0
결혼 준비를 하는데 계속 시부모님들이 사사건건 개입을 해. 내가 누구와 결혼을 하는 건지 알 수가 없어.,0
결혼 준비를 하는데 너무 지쳐서 남자친구한테 다 알아서 하라고 해버렸어.,0
결혼 준비를 하는데 자꾸 친구가 참견하네.,0
결혼 준비하는 게 너무 짜증이 나.,0
결혼 준비하는데 나만 준비하는 거 같아. 협조를 안 해줘서 힘들고 짜증 나.,0
결혼 준비하는데 시어머니 간섭이 너무 성가셔.,0
결혼 준비하는데 정말 사소하게 준비할 게 많아서 너무 성가셔.,0
결혼 준비하면서 요즘 남자친구와 자주 싸워.,0
결혼 준비하면서 짜증 나 죽겠어!,0
결혼 준비할 때 결혼 하는 신혼부부에게 너무 바가지 씌우는 사람들이 많은 것 같아.,0
결혼 후 아내가 짓궃은 장난을 너무 많이 쳐서 좀 불편해.,0
결혼 후에 살 집을 구하지 못했어. 집값이 너무 올라 도저히 감당할 수가 없어.,0
결혼. 결혼. 결혼. 정말 구역질 나.,0
결혼? 무슨 결혼? 내가 미쳤어? 얘랑 왜 결혼을 해?!!,0
결혼까지 약속한 남자친구하고 헤어졌어.,0
결혼생활이 좋은 것 같기도 하지만 참 성가신 일들이 많을 것 같아.,0
결혼식 날짜를 잡아놨는데 코로나 때문에 못 하게 생겼어. 화가 나.,0
결혼식은 너무 허례허식 같아서 정말 생략하고 싶어. 그런데 부모님이 원하시니까 해야 하는 상황이야.,0
결혼식을 중요하게 여기지 않아서 결혼식 없이 혼인신고만 하고 싶었는데 부모님의 반대로 내 의지가 좌절되고 말았어. 하지만 난 결혼식을 안 하도록 계속 허락받을 거야.,0
결혼식이 다음 달인데 빨리 다음 달이 됐으면 좋겠어.,0
결혼에 대한 생각 차이 때문에 오래 연애한 여자친구와 헤어졌어.,0
결혼에 대한 압박이 있어. 너무 싫고 구역질 나.,0
결혼은 성가신 일인 것 같아.,0
결혼은 언제 할 것이냐는 말 때문에 정말 스트레스야.,0
결혼은 준비할 것이 너무 많아. 정말 스트레스받아.,0
결혼은 해도 아기는 안 낳을 거야.,0
결혼을 강요하시는 부모님 때문에 화가 나.,0
결혼을 꼭 해야 하는 걸까? 화가 나.,0
결혼을 신분상승의 기회로 삼는 친구를 욕했어.,0
결혼을 앞두고 있는데 알고 보니 여자친구는 날 사랑하지 않더라고. 내 재산 때문에 날 사랑한 척한 거였는데 그렇게 탐욕스러운 사람이었다니 정말 구역질이 난다.,0
결혼을 약속한 여자친구와 헤어졌어.,0
결혼을 준비하고 있는데 남자친구와 크게 다투었어.,0
결혼을 준비하는데 남자친구가 도와주지도 않고 왜 이렇게 혼자 준비해야 하는 게 많은지 너무 짜증이 나.,0
결혼을 준비하다가 여자친구가 재혼이라는 것을 알았어. 어떻게 나를 속이고 초혼인 것처럼 행동할 수가 있지?,0
결혼을 하고 싶은데 나는 소개팅이 매번 성사가 잘 안 돼서 힘이 들어.,0
결혼을 한 이후로 아내가 너무 불만이 많아.,0
결혼을 했는데 몇 년 째 아이가 없어. 친구들이 자꾸 문제가 있냐고 집요하게 물어봐서 힘들어.,0
결혼을 했는데 아이를 가져야 할지 고민이 되네.,0
결혼이 장난이니?,0
결혼하고 나서 남편의 태도 변화에 구역질이 나.,0
결혼하는 친구들을 보면 준비 비용이 너무 많이 들더라고. 나는 그렇게 돈이 없어서 너무 낙담이 돼.,0
결혼하는데 준비할 게 너무 많아. 남자친구가 바쁜 바람에 내가 맡아서 하느라 피곤해 죽겠어!,0
결혼하려면 돈이 너무 많이 들어.,0
결혼하면 서로 잘 챙겨줘야 하는 거 아니야?,0
결혼하면 아이를 꼭 낳아야 할까?,0
결혼하면 집안일 다 해줄 것처럼 하더니 매일 나만 해!,0
결혼하지 않는 게 죄일까? 결혼하지 않겠다고 말했더니 주변에서 나를 이상한 사람처럼 봐. 이 상황이 너무 구역질이 나.,0
결혼하지 않으려고 했는데 아이가 생겨 버렸어. 왜 이렇게 되었는지 너무 화가 나.,0
결혼한 지 얼마나 됐다고 다른 남자를 만날 수 있어. 정말 구역질 난다.,0
결혼한 지 칠 년이 지났는데 아이가 안 생겨서 마음이 급해지고 있어.,0
결혼한 팀장과 어린 여직원이 불륜을 저지르고 있는 걸 알게 되었어.,0
경고했다. 셋 셀 동안 빨리 켜라. 하나. 둘..,0
"경위님 때문에 그런 위험도 감수하게 된 거 아닙니까. 약 공급처에서 잘리시고 확보한 물량, 돈 다 잃어버리시고..",0
경찰 친구들이 불법적인 일도 적당히 눈감으며 하는 일이 속상하고 구역질이 치밀어 올라.,0
경찰서에 사는 놈이 어디 있어! 당장 찾아! 빨리 옷을 찾아야 돼!,0
경찰에 지금 넘겨.,0
"경찰이 우스워? 경찰 우습게 여기려면, 법 지키면서 살던가. ",0
경찰이 은행 강도 돼서 5시간째 인질 데리고 실탄까지 쐈어요. 이게 약해요?,0
계급장 떼고 얘기할까요? 말까요?,0
계속 과장님이 부당한 일을 시키셔. 화가 나서 오늘은 못 들은척했어.,0
계속 날 쫓아다니면서 학폭위 취소해 달라고 비는 게 너무 귀찮아.,0
계속 조건만 보겠다??!!,0
계속 취업이 안 되니 사회에 대한 분노가 차.,0
계약이고 나발이고 지금 다 날아가게 생겼잖아! 이거 만약에 잘못되면 그땐 내가 너 가만 안 둬!! 정말!,0
고귀한 분들을 모욕하지 마셔. 운동 좀 해라. 응? 환자인 나하고 거의 똑같이 땀을 흘리잖아.,0
고등학교에 오니 시험이 너무 많아.,0
고등학생이 되니 공부를 해야 하는데 너무 귀찮아.,0
고등학생이 되니 한 만큼 성적이 안 나와서 화가 나.,0
고래를 춤추게 하는 게 채찍이야? 고래가 채찍 맞고 춤을 춘다는 거야?,0
고만해요 좀! 돌 거 같애!,0
"고모. 나는 고모가 뭐 좀 도와 달라 그래서 따라간다고 그랬지, 사형수 만나러 가는지는 몰랐어. 내가 왜 사형수를 만나야 돼? 고모 의도가 너무 뻔 한 거 아냐? 사형수 만나보고 내 목숨 소중한지 알아서 헛짓거리 하지 말고 똑바로 살라는 거 아냐?!!! ",0
고민이 많아서 가슴이 답답한데 가족들한테 털어놓을 수도 없고!,0
고민이 있는데 좀 들어주라 응?,0
고부간의 갈등을 겪고 있는데 남편은 시부모님의 입장만 해서 미치겠어.,0
고소? 무슨 죄로? 사고치자구 덤벼드는 여자 업고 온 죄? 자다가 네 번씩이나 토하는거 받아준 죄? 아 드러 진짜.. 아니면 호텔 떠나가라 고래고래 노래부르는거 방마다 사죄하고 다닌 죄? 뭐 말하는건데?,0
고아로 지내는 게 나!,0
고양이는 커져도 호랑이는 안 돼! 그냥 돼지 고양이가 될 뿐이지！,0
고양이를 키우고 싶은데 엄마가 자꾸 안 된다고 하셔.,0
고작 이정도 밖에 안 되는 여자였어? 빠뜨리면! 아무 함정에나 빠지는. 그렇게 쉬운 여자였냐구!,0
곧 결혼을 앞두고 있는데 친구가 나에 대한 악의적인 소문을 낸 걸 알게 되었어.,0
곧 대학 원서 마감날이 다가와서 불안해.,0
곧 문학 시간인데 친구가 앞 시간에 빌려 간 문학책을 아직 안 가져와서 너무 애가 타.,0
곧 아이가 태어나는데 난 여자아이를 원해. 남자아이가 태어나면 좋은 부모가 되지 못할 거야.,0
곧 있으면 명절인데 여전히 나는 무직이라 부모님조차 보러 갈 자신이 없어.,0
곧 있으면 부인이 출산하는데 빨리 우리 아이를 보고 싶어.,0
곧 있으면 추석이네. 본가에 내려가기 싫어.,0
곧 퇴근해야 하는데 선생님이 나에게 일거리를 들고 오네. 화가 나.,0
공무 수행하는 거 안 보여요? ,0
"공무수행을 왜 남 차로 해? 아오, 기름 달은 거 봐.",0
공무원 공채시험 보기 전인데 아침을 잘못 먹었나 배가 너무 아파서 짜증 나.,0
공무원 시험에 또 떨어져서 엄마한테 잔소리 들었더니 집에 있기 싫다.,0
공무원 시험을 몇 년째 준비하고 있는데 뜻대로 되지 못해 괴롭고 힘들어.,0
공부 공부 공부! 아빠는 나만 보면 공부하라고만 해서 너무 속상해.,0
공부 생각만 하면 구역질이 나.,0
공부 열심히 했는데 점수가 떨어진 것 같아서 짜증 나.,0
공부 잘한다고 잘난 체를 하는 친구가 화장실에 있을 때 불을 껐어. 당황할 걸 생각하니 고소해.,0
공부는 내가 하는 거잖아. 내가 그 누나랑 하는 게 좋다는데 뭐가 문제야?!,0
공부는 하는데 난 왜 안돼지?,0
공부는 해서 뭐 해!,0
공부도 그렇고 이제 다 귀찮아.,0
공부를 못한다고 다들 나를 무시해.,0
공부를 안 한 나 자신에게 너무 화가 나.,0
공부를 포기하고 싶어. 좌절감이 들어서 더 이상 학교에 다니고 싶지 않아.,0
공부를 할 수가 없잖아! 공부를. ,0
공부만 강요하는 부모님 때문에 너무 화가 나.,0
공부에 집중하려는데 엄마가 갑자기 청소기를 돌려서 너무 방해됐어.,0
공부하는 만큼 성적이 안 나와서 화가 나.,0
공부하는거 너무 힘들어.,0
공부하는데 옆자리 친구가 자꾸 말을 시켜. 방해가 되고 귀찮아.,0
공부하라고 핸드폰을 뺏어버린 엄마한테 열 받아.,0
공부해야 하는데 너무 졸려서 큰일이야.,0
과 미팅에서 친구가 내 성형 사실을 언급했어. 분명 일부러 그런 것 같아.,0
과 팀 과제를 하는데 서로 미루기만 하고 결국 나만 하고 있어. 사람들이 너무 이기적이야.,0
과대표를 맡아서 열심히 일했는데 동기들이 당연하게 생각해.,0
과동기 하나가 내가 남자를 밝힌다고 소문을 내고 다녀. 너무 화나!,0
과연 그 대답이 적합한 대답일까요?,0
과연. 이런 식으로 대응을 하니 그렇게 된 거였네요~,0
과외는 무슨 안 나가?,0
과외를 받는 학생이 자꾸 지각을 해서 좀 짜증이 나.,0
과외하던 애한테 부고를 보내는 놈이나 달려가는 놈이나..,0
"과장님. 지금은 제 말보다 저 사람들 말을 더 믿는 거 알아요. 사기가 그래요, 원래! 말에 꿀 발라 갖고! 예? 온갖 좋은 말로 과장님 꼬드겨갖고! 과장님 돈 뜯어낼라 그러는 거라구요, 저 사람들 지금! ",0
과장님은 항상 나만 구박하는 것 같아서 기분이 안 좋아.,0
과장님이 나한테 맨날 잔심부름을 시켜서 실수인 척하고 다른 물건을 사 왔어. 너무 짜증 나.,0
과장님이 나한테 맨날 잔심부름을 시켜서 실수인 척하고 다른 물건을 사왔어. 너무 짜증나.,0
과장님이 본인이 작성해야 할 보고서를 나한테 떠넘겨서 화를 냈어.,0
과장님이 잘못한 일을 나한테 미뤘어. 어떻게 그럴 수 있는지 구역질이 나.,0
과장님이 짧은 기간 내에 일을 너무 많이 주셔서 그냥 대충 해버렸어. 짜증 나.,0
과장님이 짧은 기간 내에 일을 너무 많이 주셔서 그냥 대충 해버렸어. 짜증나.,0
과장이 동기에게 성희롱적인 말을 했을 때 구역질이 났어.,0
괜찮긴 뭐가 괜찮아!,0
괜찮긴 뭐가 괜찮아--아 좀 비켜봐 신문 좀 보게!,0
괜찮아..낫긴 다 나았는데 기분 나빠서 이러고 있는 거야.,0
괜찮은 사람으로 보여서 친구 하고 싶은데 좀처럼 마음을 열지 않아.,0
괜찮지 않아요! 전혀 괜찮지 않다고요….! 괜찮다고 한다면… 그건 그냥 괜찮은 척 하는 거예요.,0
괜히 참견하시는 바람에 일만 더 복잡해졌잖아요.,0
괴롭히는 애들 앞에서만 조용해지는 친구한테 그렇게 살면 안 된다고 버럭버럭했어.,0
괴롭히던 애가 결국 선생님께 일러서 학교폭력위원회가 열리게 되었어.,0
괴롭힘에 대해서 선생님에게 말했지만 아무것도 해결되지 않았어.,0
괴롭힘을 당할 때 다 보고서도 모두가 못 본 척하는 게 힘들어.,0
교과서를 두고 와서 수업도 못 듣고 혼자 복도에서 있어서 기분이 좋지 않네.,0
교내 따돌림을 당하는거 같아서 너무 안달나.,0
교무실에서 교사가 할 말입니까!,0
교사란 신성한 직업이에요. 시험이라는 물리적인 가치로 평가될 수 있는 게 ,0
교수님 이건 좀 그런데요 예고도 없이 갑자기 소개팅을 하라고,0
교수님이 아부를 잘하는 선배랑 동기들에게 취업 알선을 우선적으로 해줘서 너무 억울해.,0
교실 내 따돌림을 하는 친구들을 보니 구역질이 나더라.,0
"교실에서 도난 사건이 발생했는데 누가 그 물건을 내 캐비닛에 넣어 둔거야, 황당하고 너무 화가 났어.",0
교장 선생님 이야기는 재미도 없고 지루해. 시간이 너무 아까워.,0
"교장샘을 짤라? 그래 짤라봐. 그럼 다음 교장은 내가 할건데, 그건 어때? 너 내 밑에서 졸업 좀 해볼래? ",0
교제하고 있는 남자친구와 결혼을 준비하고 있어. 그런데 남자친구가 결혼 준비에 소극적이라서 화가 날 때가 많아.,0
교회에서 같이 연주하는 오르간 반주자가 있어.,0
